0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1735,,1458,,,1084,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,784,,,,,,,,,1173,,,,,,,,,,,,,,,1359,,,,,,,,,,,,,,,,1717,,,,,,,,,,,,,,,,,,,,,,,,1473,,,,,,,,,,,,,1269,,,,,,,,,,,,,,,,,,,,,,,,,645,,,,,,,,,,,,,,816,,1327,,,774,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2181,1096,,,1261,,,,634,1423,,,,,,,,,,,,0,,1113,,,,,,,,,,796,,958,,,,,,,,,1741,,1642,,,,,,,,,,,,,,,,,,,1329,,,,,,,,,,,,,,,,,,,,,,1517,,,1318,,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501,,,,,,,,,,,,,,,,,,,,,1278,,,,536,,,,,,,,,,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1123,1522,,,756,,,1155,,,,,,,1642,,,,0,1281,,,,,,,,,,818,,1130,,,,,,,,,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,,,,,,,,,,,,,,,,,1451,,,,,,,,,,,,1579,,,,,,575,,,,,,,,,,,,,,,,1017,,,,,,,,2364
,2640,,1518,1094,1260,,,907,1577,,707,,,,884,,,,1468,,,,,1113,1281,0,,,688,1260,,,,,,1176,,,,,,,,,,,729,,,,,,,,1603,,1822,,,,,1038,,,,,,841,,,,,,,1268,,,,,,,,,,,,1485,,,,,,,,1091,,530,,,,,,,,1662,,,,,1411,1240,,,,,1664,,,,,,,,1102,1529,,,900,1214,,2157,1861,,,,,,1236,,,,,1908,850,,,1484,,,,,,2862,,,,,1660,1528,,,,866,,1127,,1677,,,,1337,1064,,,1168,900,,,,,1132,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1325,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1005,,,,,688,,,0,,,,,,,,,,,,,,,,,,,,1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,,,,1189,,,,,,,,,,944,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,716,,,,616,,,,687,,,,,,,1260,,,,0,,,,,,412,,1297,,,601,,,,,,,,,,,,,,,,,1062,,,,,,,,574,,608,,1198,,,,,1470,,2075,,,,,,,,,,,,,,,,,,1085,,,,,,565,,,,,,1392,,,,,,,,,,,516,,,,,628,,,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,,672,,756,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,822,,,,,,,,,1298,,,,,944,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187,,,,,,,,,,,,,,,,,,,,,930,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1072,,,1962,,,,1717,,,,,,,,,,,,,,,0,,,663,,1706,,,,,,,,,,,2493,,,1731,2184,,,,,,,,,,,,,,,,,1519,,,,,,,,2267,,,,,,,,,,,,,,,,,,,2268,,,,,,,,,,1705,,,,,,,,,,,,,,2526,,,,,,,,,,,,,,,,,,,,,,,,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1829,,1524,,,1133,,,608,,,,,,,,,,,,,,,,,,,,,,,0,,1091,,,,,,,,,,,957,,,,,,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3175,,,,,,1419,,,,,,,,,,,,,,,,1617,,,,,,,,,,,,,1304,,,,,,,,,,,,1287,,,,,,,,,492,,,,471,,,,3224,,,,,,,,,,,,1397,,,,,,947,,,,,,,,643,,,,,,,,
,,,,,,,268,,,,1656,,,2519,1480,,,2289,,,2767,,,,,,,,,,,,,,0,1220,,2293,,,,,,,,,3087,,,,,2316,2770,,,,,,1797,,,,,,,,,,,2105,,,,,,1711,,2853,,,,,,,,,,,,,,,,,,,2855,,,,1841,,,,,,2289,,,2640,,,,,,,,,763,,,,,,,,,1483,,,,,,,,,,2823,,,,,564,,2623,,,,,,,,,,,,,,,,,,1508,,,,2126,,,,1901,1826,,,,,,3114,,,,,,,,,
,,,1575,383,1185,,1058,876,465,,,,,1570,,1127,,,355,,,,,796,818,1176,,,,412,,,663,1091,1220,0,,1148,491,,,,,,,,1905,,1949,,,1205,1609,,,,1769,852,713,,,,,1464,,,,,,995,1004,,,,1074,,,,,,,,,,,,1868,,,,,,,,1359,,1695,,680,,630,,,,,,1195,,,1913,1768,,,,1136,,,,1901,,1968,,,867,405,1223,,,,,2152,1897,,,,,,,,,1353,,880,,1459,446,,,1179,,,,,,,,,,432,,,,,,1132,,1703,,,,1330,1085,,,,,,,1537,,1765,,,,,,
,,,,,,,,,,,1048,,,,,,,,,,,,,,,,,,,,,,,,,,0,1701,,,,,,,,,2434,,,,,,,,,572,,,,,,,,,,,,,,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,,,,,,1082,,,,,,,,,,,,,,,,,,,,,,,,,,
,2831,2519,1691,1132,1411,1016,2075,1035,1509,,659,,899,,834,736,,,1405,,,,,958,1130,,,,,1297,822,,1706,,2293,1148,1701,0,,,,,,,,,804,,802,,692,,,,1792,,1992,,,,745,1058,2891,,,,,960,,,1311,,,,1089,,,,,,,1609,,,,,,,3012,,,633,,,1271,,562,,,766,783,,,,1823,,,,,1221,1440,,,,1745,1817,,1022,2857,867,,,,1220,,,697,877,1161,940,2336,2039,689,1066,2448,1465,952,1070,,,1002,,1810,,,1583,1666,,,,,,3058,1444,,,,1838,1533,,631,,785,,1279,,1477,,,,1141,,,,1081,1065,1920,,793,,,,,,,,
,,,,,,,,,,,958,,,,,,,,,,,,,,,,,,,,,,,,,491,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1015,,,,847,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1731,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642,,,,,,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,,940,,,,,,,,,,,,,,,,,,,,,,,,
,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,601,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,,2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496,,,,,,,,,,,,,,,,,,,,,,,,1294,,,,,,,,,,,,,,,,,,,,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1907,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2026,,,,,,,,,,,,,1131,,,,,,,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686,,,,,,,,,,,,,1383,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2786,,1867,1793,1739,,,1485,,,1434,322,1160,,1611,,,1001,2193,,331,784,1169,1741,1914,729,,1606,,,1298,,,957,3087,1905,2434,804,,,,300,,,,,0,,337,,,818,336,,1829,,,,1306,,,,2845,1616,1225,,,1446,,1008,1719,,,,1821,1758,1967,308,1735,,,1868,,484,,,1642,,2931,227,,883,434,1969,1452,,265,1790,2532,,1393,,1466,348,,,,771,,,1366,,,,2531,,,,,,,893,,1686,2249,1546,1455,1629,,,2430,,,1474,,1943,,1236,1968,,1126,,,,471,,1780,,1328,1491,1395,,2945,,2004,,,,,,1357,,1581,829,1610,,2048,,,,1797,1590,,,1881,,,277,1242,,,,,,,,
